,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
0,Busselton,31,AU,1567541789,56,-33.64,115.35,50.0,29.95
1,Khatanga,94,RU,1567541789,85,71.98,102.47,43.83,9.69
2,Cockburn Town,0,TC,1567541789,74,21.46,-71.14,84.15,13.27
3,La Sarre,100,CA,1567541492,61,48.8,-79.2,55.35,12.35
4,Rikitea,100,PF,1567541525,87,-23.12,-134.97,72.09,9.24
5,Upernavik,0,GL,1567541602,52,72.79,-56.15,39.69,9.06
6,Yellowknife,90,CA,1567541538,76,62.45,-114.38,48.2,13.87
7,Kapaa,40,US,1567541790,62,22.08,-159.32,87.8,11.41
8,New Norfolk,0,AU,1567541790,57,-42.78,147.06,50.0,8.05
9,Mataura,100,NZ,1567541523,96,-46.19,168.86,39.0,1.01
10,Port Alfred,0,ZA,1567541790,85,-33.59,26.89,62.01,3.0
11,Margate,0,AU,1567541723,57,-43.03,147.26,50.0,8.05
12,Ribeira Grande,75,PT,1567541791,60,38.52,-28.7,73.4,10.29
13,Saskylakh,100,RU,1567541561,78,71.97,114.09,43.11,10.11
14,Kavieng,85,PG,1567541791,75,-2.57,150.8,83.61,12.26
15,Avarua,35,CK,1567541791,56,-21.21,-159.78,73.4,12.75
16,Leningradskiy,98,RU,1567541526,82,69.38,178.42,35.19,4.59
17,Punta Arenas,40,CL,1567541791,56,-53.16,-70.91,41.0,13.87
18,Pokhara,100,NP,1567541791,98,28.21,83.99,57.51,1.05
19,Albany,1,US,1567541791,57,42.65,-73.75,78.01,3.36
20,Hofn,24,IS,1567541792,80,64.25,-15.21,33.21,11.77
21,Cherskiy,0,RU,1567541792,48,68.75,161.3,45.99,3.71
22,Inongo,100,CD,1567541792,93,-1.93,18.29,70.47,3.38
23,Bredasdorp,25,ZA,1567541792,67,-34.53,20.04,59.0,4.7
24,Yar-Sale,100,RU,1567541792,89,66.83,70.83,48.51,6.58
25,Mayumba,100,GA,1567541792,86,-3.44,10.65,73.71,12.71
26,Thompson,90,CA,1567541792,58,55.74,-97.86,57.2,10.29
27,Barrow,32,AR,1567541607,64,-38.31,-60.23,43.47,17.72
28,Bubaque,100,GW,1567541793,84,11.28,-15.83,82.53,10.78
29,Haines Junction,97,CA,1567541793,66,60.75,-137.51,48.87,4.52
30,Kodiak,40,US,1567541793,66,39.95,-94.76,91.99,5.82
31,Katsuura,75,JP,1567541793,94,33.93,134.5,77.0,4.7
32,Sept-Iles,20,CA,1567541565,58,50.2,-66.38,57.2,13.87
33,Korfovskiy,0,RU,1567541793,77,48.22,135.06,62.6,6.71
34,Fortuna,20,US,1567541794,68,40.6,-124.16,82.0,13.87
35,Eyl,14,SO,1567541794,65,7.98,49.82,76.95,27.63
36,Nouadhibou,0,MR,1567541794,73,20.93,-17.03,77.0,17.22
37,Jamestown,45,AU,1567541547,50,-33.21,138.6,53.73,2.46
38,Gladstone,99,AU,1567541794,66,-23.84,151.26,55.4,4.7
39,Fort Nelson,75,CA,1567541794,77,58.81,-122.69,59.0,6.93
40,Jumla,98,NP,1567541794,96,29.28,82.18,55.53,1.32
41,Mar del Plata,69,AR,1567541795,45,-46.43,-67.52,37.71,19.04
42,Rio Grande,20,BR,1567541662,38,-32.03,-52.1,59.0,8.05
43,Ushuaia,75,AR,1567541710,64,-54.81,-68.31,37.4,19.46
44,Ponta do Sol,86,BR,1567541795,35,-20.63,-46.0,79.47,1.5
45,Qaanaaq,28,GL,1567541795,51,77.48,-69.36,34.11,6.8
46,Cumberland,20,US,1567541795,50,41.97,-71.43,81.0,3.36
47,Lahij,26,YE,1567541795,39,13.06,44.88,94.23,6.11
48,Zyryanka,100,RU,1567541795,56,65.73,150.89,52.83,2.19
49,Camacha,20,PT,1567541796,64,33.08,-16.33,73.4,6.93
50,Sao Filipe,100,CV,1567541796,86,14.9,-24.5,80.91,5.79
51,Airai,0,TL,1567541796,79,-8.93,125.41,63.99,4.7
52,Jawhar,100,IN,1567541796,94,19.91,73.23,76.41,5.68
53,Clyde River,75,CA,1567541796,93,70.47,-68.59,44.6,14.99
54,Cornwall,1,CA,1567541668,42,45.02,-74.73,71.01,4.23
55,Miquelon,75,PM,1567541796,93,47.1,-56.38,62.6,25.28
56,Velsk,2,RU,1567541797,96,61.07,42.1,53.91,5.08
57,San Quintin,82,PH,1567541650,87,17.54,120.52,73.53,2.62
58,Bilma,0,NE,1567541588,14,18.69,12.92,97.47,5.64
59,Lavrentiya,100,RU,1567541620,98,65.58,-170.99,45.99,4.0
60,Tessalit,99,ML,1567541797,24,20.2,1.01,96.93,5.19
61,Bucerias,75,MX,1567541605,62,20.76,-105.33,90.0,11.41
62,Canmore,1,CA,1567541797,35,51.09,-115.35,71.01,5.82
63,Hithadhoo,0,MV,1567541798,77,-0.6,73.08,82.71,11.61
64,Esna,40,RO,1567541798,49,45.2,27.57,73.4,9.17
65,Arraial do Cabo,75,BR,1567541798,88,-22.97,-42.02,73.4,14.99
66,At-Bashi,0,KG,1567541798,55,41.17,75.81,44.73,2.04
67,Havre-Saint-Pierre,1,CA,1567541798,66,50.23,-63.6,55.4,18.34
68,Saint-Philippe,1,CA,1567541798,49,45.36,-73.48,69.8,4.0
69,Nabire,100,ID,1567541799,99,-3.36,135.5,68.13,2.77
70,Kahului,20,US,1567541799,51,20.89,-156.47,84.2,18.63
71,Severo-Kurilsk,100,RU,1567541799,95,50.68,156.12,50.49,12.91
72,Srednekolymsk,25,RU,1567541640,44,67.46,153.71,47.97,10.07
73,Vaini,100,IN,1567541799,96,15.34,74.49,75.15,3.71
74,Lufilufi,92,WS,1567541799,77,-13.87,-171.6,81.45,19.44
75,Butaritari,67,KI,1567541544,65,3.07,172.79,84.15,3.29
76,Chokurdakh,0,RU,1567541799,75,70.62,147.9,40.59,9.28
77,Hermanus,33,ZA,1567541800,83,-34.42,19.24,59.0,1.99
78,Chapais,75,CA,1567541693,50,49.78,-74.86,57.2,9.17
79,Bluff,88,AU,1567541800,36,-23.58,149.07,63.63,2.33
80,Ahipara,93,NZ,1567541800,100,-35.17,173.16,57.0,12.12
81,Seoul,90,KR,1567541744,94,37.57,126.98,73.4,2.24
82,La Ronge,75,CA,1567541609,68,55.1,-105.3,66.2,6.93
83,Prokudskoye,0,RU,1567541800,87,55.01,82.46,46.4,6.71
84,Aykhal,90,RU,1567541801,86,65.95,111.51,39.2,2.24
85,Paciran,44,ID,1567541801,91,-6.9,112.33,66.87,4.25
86,Ha Tinh,100,VN,1567541801,93,18.33,105.9,74.43,7.4
87,Corrente,0,BR,1567541801,22,-17.45,-44.68,85.05,4.97
88,Ulaanbaatar,40,MN,1567541801,46,47.92,106.92,62.6,11.18
89,Cadiz,75,US,1567541801,51,40.27,-81.0,82.99,12.75
90,Sao Lourenco do Sul,20,BR,1567541801,38,-31.37,-51.98,59.0,8.05
